Date,Open,High,Low,Close,Adj. close,Volume
3/16/2009,758.84,774.53,753.37,753.89,753.89,"7,88,35,40,000"
3/13/2009,751.97,758.29,742.46,756.55,756.55,"6,78,70,90,000"
3/12/2009,720.89,752.63,714.76,750.74,750.74,"7,32,66,30,000"
3/11/2009,719.59,731.92,713.85,721.36,721.36,"7,28,78,10,000"
3/10/2009,679.28,719.60,679.28,719.60,719.60,"8,61,83,30,000"
3/9/2009,680.76,695.27,672.88,676.53,676.53,"7,27,73,20,000"
3/6/2009,684.04,699.09,666.79,683.38,683.38,"7,33,18,30,000"
3/5/2009,708.27,708.27,677.93,682.55,682.55,"7,50,72,50,000"
3/4/2009,698.60,724.12,698.60,712.87,712.87,"7,67,36,20,000"
3/3/2009,704.44,711.67,692.30,696.33,696.33,"7,58,32,30,000"
3/2/2009,729.57,729.57,699.70,700.82,700.82,"7,86,82,90,000"
2/27/2009,749.93,751.27,734.52,735.09,735.09,"8,92,64,80,000"
2/26/2009,765.76,779.42,751.75,752.83,752.83,"7,59,99,70,000"
2/25/2009,770.64,780.12,752.89,764.90,764.90,"7,48,36,40,000"
2/24/2009,744.69,775.49,744.69,773.14,773.14,"7,23,44,90,000"
2/23/2009,773.25,777.85,742.37,743.33,743.33,"6,50,93,00,000"
2/20/2009,775.87,778.69,754.25,770.05,770.05,"8,21,05,90,000"
2/19/2009,787.91,797.58,777.03,778.94,778.94,"5,74,69,40,000"
2/18/2009,791.06,796.17,780.43,788.42,788.42,"5,74,07,10,000"
2/17/2009,818.61,818.61,789.17,789.17,789.17,"5,90,78,20,000"
2/13/2009,833.95,839.43,825.21,826.84,826.84,"5,29,66,50,000"
2/12/2009,829.91,835.48,808.06,835.19,835.19,"6,47,64,60,000"
2/11/2009,827.41,838.22,822.30,833.74,833.74,"5,92,64,60,000"
2/10/2009,866.87,868.05,822.99,827.16,827.16,"6,77,01,70,000"
2/9/2009,868.24,875.01,861.65,869.89,869.89,"5,57,43,70,000"
2/6/2009,846.09,870.75,845.42,868.60,868.60,"6,48,41,00,000"
2/5/2009,831.75,850.55,819.91,845.85,845.85,"6,62,40,30,000"
2/4/2009,837.77,851.85,829.18,832.23,832.23,"6,42,04,50,000"
2/3/2009,825.69,842.60,821.98,838.51,838.51,"5,88,63,10,000"
2/2/2009,823.09,830.78,812.87,825.44,825.44,"5,67,32,70,000"
1/30/2009,845.69,851.66,821.67,825.88,825.88,"5,35,05,80,000"
1/29/2009,868.89,868.89,844.15,845.14,845.14,"5,06,70,60,000"
1/28/2009,845.73,877.86,845.73,874.09,874.09,"6,19,91,80,000"
1/27/2009,837.30,850.45,835.40,845.71,845.71,"5,35,32,60,000"
1/26/2009,832.50,852.53,827.69,836.57,836.57,"6,03,99,40,000"
1/23/2009,822.16,838.61,806.07,831.95,831.95,"5,83,21,60,000"
1/22/2009,839.74,839.74,811.29,827.50,827.50,"5,84,38,30,000"
1/21/2009,806.77,841.72,804.30,840.24,840.24,"6,46,78,30,000"
1/20/2009,849.64,849.64,804.47,805.22,805.22,"6,37,52,30,000"
1/16/2009,844.45,858.13,830.66,850.12,850.12,"6,78,60,40,000"
1/15/2009,841.99,851.59,817.04,843.74,843.74,"7,80,73,50,000"
1/14/2009,867.28,867.28,836.93,842.62,842.62,"5,40,78,80,000"
1/13/2009,869.79,877.02,862.02,871.79,871.79,"5,56,74,60,000"
1/12/2009,890.40,890.40,864.32,870.26,870.26,"4,72,50,50,000"
1/9/2009,909.91,911.93,888.31,890.35,890.35,"4,71,65,00,000"
1/8/2009,905.73,910.00,896.81,909.73,909.73,"4,99,15,50,000"
1/7/2009,927.45,927.45,902.37,906.65,906.65,"4,70,49,40,000"
1/6/2009,931.17,943.85,927.28,934.70,934.70,"5,39,26,20,000"
1/5/2009,929.17,936.63,919.53,927.45,927.45,"5,41,39,10,000"
1/2/2009,902.99,934.73,899.35,931.80,931.80,"4,04,82,70,000"
12/31/2008,890.59,910.32,889.67,903.25,903.25,"4,17,29,40,000"
12/30/2008,870.58,891.12,870.58,890.64,890.64,"3,62,78,00,000"
12/29/2008,872.37,873.70,857.07,869.42,869.42,"3,32,34,30,000"
12/26/2008,869.51,873.74,866.52,872.80,872.80,"1,88,00,50,000"
12/24/2008,863.87,869.79,861.44,868.15,868.15,"1,54,65,50,000"
12/23/2008,874.31,880.44,860.10,863.16,863.16,"4,05,19,70,000"
12/22/2008,887.20,887.37,857.09,871.63,871.63,"4,86,98,50,000"
12/19/2008,886.96,905.47,883.02,887.88,887.88,"6,70,53,10,000"
12/18/2008,905.98,911.02,877.44,885.28,885.28,"5,67,50,00,000"
12/17/2008,908.16,918.85,895.94,904.42,904.42,"5,90,73,80,000"
12/16/2008,871.53,914.66,871.53,913.18,913.18,"6,00,97,80,000"
12/15/2008,881.07,884.63,857.72,868.57,868.57,"4,98,23,90,000"
12/12/2008,871.79,883.24,851.35,879.73,879.73,"5,95,95,90,000"
12/11/2008,898.35,904.63,868.73,873.59,873.59,"5,51,38,40,000"
12/10/2008,892.17,908.27,885.45,899.24,899.24,"5,94,21,30,000"
12/9/2008,906.48,916.26,885.38,888.67,888.67,"5,69,31,10,000"
12/8/2008,882.71,918.57,882.71,909.70,909.70,"6,55,36,00,000"
12/5/2008,844.43,879.42,818.41,876.07,876.07,"6,16,53,70,000"
12/4/2008,869.75,875.60,833.60,845.22,845.22,"5,86,03,90,000"
12/3/2008,843.60,873.12,827.60,870.74,870.74,"6,22,18,80,000"
12/2/2008,817.94,850.54,817.94,848.81,848.81,"6,17,01,00,000"
12/1/2008,888.61,888.61,815.69,816.21,816.21,"6,05,20,10,000"
11/28/2008,886.89,896.25,881.21,896.24,896.24,"2,74,08,60,000"
11/26/2008,852.90,887.68,841.37,887.68,887.68,"5,79,32,60,000"
11/25/2008,853.40,868.94,834.99,857.39,857.39,"6,95,27,00,000"
11/24/2008,801.20,865.60,801.20,851.81,851.81,"7,87,94,40,000"
11/21/2008,755.84,801.20,741.02,800.03,800.03,"9,49,59,00,000"
