Date,Price,Open,High,Low,Vol.,Change %
26-Jun-20,0.0024,0.0024,0.0024,0.0023,2.60B,-0.0211
25-Jun-20,0.0024,0.0024,0.0024,0.0024,2.76B,-0.0067
24-Jun-20,0.0024,0.0025,0.0025,0.0024,3.30B,-0.0194
23-Jun-20,0.0025,0.0025,0.0025,0.0025,3.03B,0.0003
22-Jun-20,0.0025,0.0024,0.0025,0.0024,3.15B,0.0093
21-Jun-20,0.0024,0.0025,0.0025,0.0024,2.85B,-0.0038
20-Jun-20,0.0025,0.0025,0.0025,0.0024,2.96B,0.0022
19-Jun-20,0.0025,0.0025,0.0025,0.0024,3.30B,-0.0005
18-Jun-20,0.0025,0.0025,0.0025,0.0024,3.26B,-0.0107
17-Jun-20,0.0025,0.0025,0.0025,0.0024,4.00B,-0.0018
16-Jun-20,0.0025,0.0025,0.0025,0.0024,4.29B,0.0033
15-Jun-20,0.0025,0.0025,0.0025,0.0024,5.07B,-0.0019
14-Jun-20,0.0025,0.0025,0.0025,0.0025,3.13B,-0.0197
13-Jun-20,0.0025,0.0025,0.0025,0.0025,3.85B,0.0034
12-Jun-20,0.0025,0.0025,0.0025,0.0024,4.46B,0.0276
11-Jun-20,0.0025,0.0026,0.0026,0.0024,4.62B,-0.0500
10-Jun-20,0.0026,0.0026,0.0026,0.0025,3.78B,0.0091
9-Jun-20,0.0026,0.0026,0.0026,0.0025,3.88B,-0.0092
8-Jun-20,0.0026,0.0026,0.0026,0.0025,3.68B,-0.0082
7-Jun-20,0.0026,0.0026,0.0026,0.0025,3.85B,0.0077
6-Jun-20,0.0026,0.0026,0.0026,0.0026,3.80B,-0.0007
5-Jun-20,0.0026,0.0026,0.0026,0.0026,3.75B,-0.0166
4-Jun-20,0.0026,0.0026,0.0027,0.0026,4.36B,0.0145
3-Jun-20,0.0026,0.0026,0.0026,0.0025,1.59B,0.0077
2-Jun-20,0.0026,0.0026,0.0027,0.0025,2.48B,-0.0276
1-Jun-20,0.0026,0.0026,0.0027,0.0025,1.86B,0.0290
31-May-20,0.0026,0.0026,0.0026,0.0025,1.73B,-0.0182
30-May-20,0.0026,0.0025,0.0026,0.0025,1.91B,0.0366
29-May-20,0.0025,0.0025,0.0025,0.0025,1.46B,-0.0014
28-May-20,0.0025,0.0025,0.0026,0.0025,1.87B,0.0083
27-May-20,0.0025,0.0025,0.0026,0.0025,1.99B,0.0019
26-May-20,0.0025,0.0025,0.0025,0.0025,2.20B,-0.0120
25-May-20,0.0025,0.0025,0.0025,0.0024,2.86B,0.0244
24-May-20,0.0025,0.0025,0.0026,0.0025,2.55B,-0.0243
23-May-20,0.0025,0.0025,0.0026,0.0025,2.40B,0.0000
22-May-20,0.0025,0.0025,0.0025,0.0024,2.42B,0.0153
21-May-20,0.0025,0.0025,0.0025,0.0024,2.62B,-0.0070
20-May-20,0.0025,0.0025,0.0026,0.0024,2.28B,-0.0102
19-May-20,0.0025,0.0025,0.0026,0.0025,2.34B,0.0027
18-May-20,0.0025,0.0025,0.0026,0.0025,27.20B,0.0025
17-May-20,0.0025,0.0025,0.0026,0.0025,26.59B,0.0072
16-May-20,0.0025,0.0025,0.0025,0.0025,27.09B,0.0081
15-May-20,0.0025,0.0026,0.0026,0.0025,27.28B,-0.0323
14-May-20,0.0026,0.0025,0.0026,0.0025,27.62B,0.0221
13-May-20,0.0025,0.0025,0.0025,0.0024,27.52B,0.0238
12-May-20,0.0025,0.0024,0.0025,0.0024,27.53B,0.0212
11-May-20,0.0024,0.0025,0.0025,0.0023,29.15B,-0.0174
10-May-20,0.0025,0.0026,0.0026,0.0023,29.42B,-0.0582
9-May-20,0.0026,0.0026,0.0026,0.0026,26.70B,-0.0043
8-May-20,0.0026,0.0027,0.0027,0.0026,26.42B,-0.0169
7-May-20,0.0027,0.0025,0.0027,0.0025,26.68B,0.0732
6-May-20,0.0025,0.0025,0.0026,0.0024,27.20B,0.0012
5-May-20,0.0025,0.0025,0.0025,0.0024,27.50B,0.0048
4-May-20,0.0025,0.0025,0.0025,0.0024,27.83B,-0.0162
3-May-20,0.0025,0.0025,0.0026,0.0025,27.45B,-0.0143
2-May-20,0.0025,0.0025,0.0026,0.0024,26.88B,0.0277
1-May-20,0.0025,0.0025,0.0026,0.0024,28.06B,0.0052
30-Apr-20,0.0025,0.0025,0.0027,0.0024,29.44B,-0.0179
29-Apr-20,0.0025,0.0023,0.0026,0.0023,28.58B,0.0730
28-Apr-20,0.0023,0.0023,0.0024,0.0023,29.41B,-0.0037
27-Apr-20,0.0023,0.0024,0.0024,0.0023,30.17B,-0.0244
26-Apr-20,0.0024,0.0021,0.0025,0.0021,32.33B,0.1312
25-Apr-20,0.0021,0.0021,0.0022,0.0021,31.93B,0.0201
24-Apr-20,0.0021,0.0021,0.0022,0.0020,32.24B,0.0133
23-Apr-20,0.0021,0.0020,0.0022,0.0020,32.38B,0.0280
22-Apr-20,0.0020,0.0020,0.0020,0.0019,32.85B,0.0244
21-Apr-20,0.0020,0.0020,0.0021,0.0019,33.89B,-0.0142
20-Apr-20,0.0020,0.0020,0.0021,0.0019,33.71B,-0.0312
19-Apr-20,0.0020,0.0020,0.0021,0.0020,33.18B,-0.0025
18-Apr-20,0.0020,0.0020,0.0021,0.0020,32.67B,0.0233
17-Apr-20,0.0020,0.0020,0.0020,0.0020,32.93B,0.0015
16-Apr-20,0.0020,0.0020,0.0020,0.0019,34.41B,0.0053
15-Apr-20,0.0020,0.0020,0.0020,0.0019,34.51B,0.0041
14-Apr-20,0.0020,0.0020,0.0020,0.0019,33.77B,0.0090
13-Apr-20,0.0020,0.0020,0.0020,0.0019,34.72B,0.0000
12-Apr-20,0.0020,0.0020,0.0020,0.0019,33.29B,-0.0265
11-Apr-20,0.0020,0.0020,0.0020,0.0019,33.91B,0.0268
10-Apr-20,0.0020,0.0020,0.0020,0.0019,35.79B,-0.0289
9-Apr-20,0.0020,0.0020,0.0020,0.0020,33.08B,0.0083
8-Apr-20,0.0020,0.0020,0.0020,0.0020,33.43B,0.0018
7-Apr-20,0.0020,0.0020,0.0020,0.0019,34.26B,0.0083
6-Apr-20,0.0020,0.0019,0.0020,0.0018,34.87B,0.0720
5-Apr-20,0.0019,0.0019,0.0019,0.0018,35.54B,-0.0115
4-Apr-20,0.0019,0.0018,0.0019,0.0018,35.42B,0.0170
3-Apr-20,0.0018,0.0019,0.0019,0.0018,36.04B,-0.0191
2-Apr-20,0.0019,0.0019,0.0019,0.0018,35.61B,0.0073
1-Apr-20,0.0019,0.0018,0.0019,0.0018,37.27B,0.0350
31-Mar-20,0.0018,0.0018,0.0019,0.0018,36.22B,-0.0027
30-Mar-20,0.0018,0.0017,0.0019,0.0017,36.56B,0.0485
29-Mar-20,0.0017,0.0018,0.0018,0.0017,37.16B,-0.0299
28-Mar-20,0.0018,0.0018,0.0019,0.0017,38.20B,-0.0039
27-Mar-20,0.0018,0.0018,0.0019,0.0018,36.48B,-0.0239
26-Mar-20,0.0018,0.0018,0.0019,0.0018,35.68B,-0.0034
25-Mar-20,0.0018,0.0018,0.0019,0.0018,36.15B,-0.0072
24-Mar-20,0.0018,0.0018,0.0019,0.0018,35.90B,0.0154
23-Mar-20,0.0018,0.0017,0.0019,0.0017,37.19B,0.0521
22-Mar-20,0.0017,0.0018,0.0019,0.0017,37.99B,-0.0310
21-Mar-20,0.0018,0.0018,0.0019,0.0017,37.63B,0.0051
20-Mar-20,0.0018,0.0018,0.0020,0.0016,37.63B,0.0054
19-Mar-20,0.0018,0.0017,0.0019,0.0016,77.34B,0.0543
18-Mar-20,0.0017,0.0017,0.0017,0.0016,2.58B,-0.0179
17-Mar-20,0.0017,0.0016,0.0017,0.0016,2.47B,0.0402
16-Mar-20,0.0016,0.0017,0.0017,0.0015,3.28B,-0.0343
15-Mar-20,0.0017,0.0017,0.0018,0.0016,2.76B,0.0048
14-Mar-20,0.0017,0.0018,0.0018,0.0016,2.79B,-0.0379
13-Mar-20,0.0018,0.0016,0.0018,0.0013,6.49B,0.1058
12-Mar-20,0.0016,0.0022,0.0022,0.0015,6.66B,-0.2712
11-Mar-20,0.0022,0.0022,0.0022,0.0021,2.06B,-0.0135
10-Mar-20,0.0022,0.0022,0.0023,0.0022,2.41B,-0.0074
9-Mar-20,0.0022,0.0022,0.0022,0.0021,2.84B,0.0201
8-Mar-20,0.0022,0.0024,0.0024,0.0022,2.58B,-0.0955
7-Mar-20,0.0024,0.0025,0.0025,0.0024,1.98B,-0.0311
6-Mar-20,0.0025,0.0025,0.0025,0.0024,1.83B,0.0024
5-Mar-20,0.0025,0.0024,0.0025,0.0024,1.90B,0.0227
4-Mar-20,0.0024,0.0025,0.0025,0.0024,1.96B,-0.0302
3-Mar-20,0.0025,0.0024,0.0025,0.0023,2.39B,0.0638
2-Mar-20,0.0024,0.0023,0.0024,0.0023,1.55B,0.0326
1-Mar-20,0.0023,0.0022,0.0023,0.0022,1.63B,0.0270
29-Feb-20,0.0022,0.0023,0.0023,0.0022,1.50B,-0.0325
28-Feb-20,0.0023,0.0023,0.0024,0.0022,1.63B,-0.0159
27-Feb-20,0.0023,0.0023,0.0024,0.0023,1.76B,-0.0074
26-Feb-20,0.0023,0.0025,0.0025,0.0022,2.34B,-0.0530
25-Feb-20,0.0025,0.0026,0.0026,0.0024,1.96B,-0.0414
24-Feb-20,0.0026,0.0027,0.0027,0.0026,1.79B,-0.0358
23-Feb-20,0.0027,0.0026,0.0027,0.0026,1.69B,0.0308
22-Feb-20,0.0026,0.0026,0.0027,0.0026,1.71B,-0.0175
21-Feb-20,0.0026,0.0027,0.0027,0.0026,1.77B,-0.0024
20-Feb-20,0.0027,0.0026,0.0027,0.0026,2.18B,0.0156
19-Feb-20,0.0026,0.0028,0.0029,0.0026,2.03B,-0.0808
18-Feb-20,0.0028,0.0027,0.0029,0.0027,2.31B,0.0538
17-Feb-20,0.0027,0.0028,0.0028,0.0026,2.32B,-0.0225
16-Feb-20,0.0028,0.0029,0.0030,0.0026,2.69B,-0.0506
15-Feb-20,0.0029,0.0031,0.0032,0.0029,2.33B,-0.0636
14-Feb-20,0.0031,0.0030,0.0031,0.0030,2.10B,0.0328
13-Feb-20,0.0030,0.0031,0.0032,0.0030,2.75B,-0.0166
12-Feb-20,0.0031,0.0031,0.0033,0.0030,2.50B,-0.0057
11-Feb-20,0.0031,0.0030,0.0034,0.0029,2.55B,0.0294
10-Feb-20,0.0030,0.0032,0.0033,0.0029,3.10B,-0.0758
9-Feb-20,0.0032,0.0032,0.0035,0.0031,3.89B,0.0180
8-Feb-20,0.0032,0.0028,0.0033,0.0027,3.21B,0.1381
7-Feb-20,0.0028,0.0027,0.0028,0.0027,2.02B,0.0475
6-Feb-20,0.0027,0.0026,0.0027,0.0026,1.94B,0.0237
5-Feb-20,0.0026,0.0025,0.0026,0.0025,2.25B,0.0344
4-Feb-20,0.0025,0.0024,0.0220,0.0024,1.98B,0.0395
3-Feb-20,0.0024,0.0024,0.0025,0.0024,1.76B,-0.0093
2-Feb-20,0.0024,0.0024,0.0025,0.0024,1.81B,0.0027
1-Feb-20,0.0024,0.0024,0.0025,0.0024,1.61B,0.0216
31-Jan-20,0.0024,0.0024,0.0025,0.0024,1.73B,-0.0206
30-Jan-20,0.0024,0.0024,0.0025,0.0024,1.81B,0.0057
29-Jan-20,0.0024,0.0024,0.0025,0.0024,1.76B,0.0010
28-Jan-20,0.0024,0.0024,0.0025,0.0024,1.80B,0.0254
27-Jan-20,0.0024,0.0023,0.0024,0.0023,1.91B,0.0256
26-Jan-20,0.0023,0.0022,0.0023,0.0022,1.51B,0.0216
25-Jan-20,0.0022,0.0023,0.0024,0.0022,1.55B,-0.0150
24-Jan-20,0.0023,0.0023,0.0025,0.0019,1.66B,-0.0020
23-Jan-20,0.0023,0.0024,0.0025,0.0023,1.70B,-0.0374
22-Jan-20,0.0024,0.0024,0.0025,0.0023,1.43B,-0.0058
21-Jan-20,0.0024,0.0025,0.0025,0.0024,1.62B,-0.0314
20-Jan-20,0.0025,0.0024,0.0025,0.0024,1.66B,0.0182
19-Jan-20,0.0024,0.0025,0.0025,0.0024,1.92B,-0.0320
18-Jan-20,0.0025,0.0025,0.0025,0.0024,1.94B,0.0094
17-Jan-20,0.0025,0.0023,0.0025,0.0023,2.16B,0.0674
16-Jan-20,0.0023,0.1482,0.1846,0.0023,1.87B,-0.9843
15-Jan-20,0.1482,0.0024,0.1809,0.0023,2.21B,61.9155
14-Jan-20,0.0024,0.0022,0.0024,0.0022,2.38B,0.0904
13-Jan-20,0.0022,0.0022,0.0022,0.0022,1.51B,-0.0202
12-Jan-20,0.0022,0.0022,0.0022,0.0021,1.63B,0.0120
11-Jan-20,0.0022,0.0022,0.0022,0.0022,1.73B,-0.0131
10-Jan-20,0.0022,0.0021,0.0022,0.0021,1.71B,0.0329
9-Jan-20,0.0021,0.0021,0.0022,0.0021,1.64B,-0.0005
8-Jan-20,0.0021,0.0022,0.0022,0.0021,1.84B,-0.0199
7-Jan-20,0.0022,0.0022,0.0023,0.0021,1.75B,0.0136
6-Jan-20,0.0022,0.0021,0.0022,0.0021,1.66B,0.0351
5-Jan-20,0.0021,0.0023,0.0023,0.0021,1.57B,-0.0986
4-Jan-20,0.0023,0.0020,0.0023,0.0020,1.55B,0.1299
3-Jan-20,0.0020,0.0020,0.0023,0.0020,1.69B,0.0214
2-Jan-20,0.0020,0.0020,0.0021,0.0020,1.86B,-0.0198
1-Jan-20,0.0020,0.0020,0.0021,0.0020,1.44B,0.0124
31-Dec-19,0.0020,0.0020,0.0021,0.0020,1.61B,-0.0117
30-Dec-19,0.0020,0.0022,0.0022,0.0020,1.53B,-0.0530
29-Dec-19,0.0022,0.0021,0.0022,0.0021,3.69B,0.0146
28-Dec-19,0.0021,0.0021,0.0022,0.0021,3.86B,0.0086
27-Dec-19,0.0021,0.0022,0.0022,0.0021,3.72B,-0.0449
26-Dec-19,0.0022,0.0022,0.0022,0.0022,3.75B,0.0017
25-Dec-19,0.0022,0.0022,0.0022,0.0020,3.83B,-0.0215
24-Dec-19,0.0022,0.0021,0.0023,0.0021,3.65B,0.0566
23-Dec-19,0.0021,0.0021,0.0022,0.0021,3.97B,-0.0024
22-Dec-19,0.0021,0.0021,0.0022,0.0021,4.06B,0.0063
21-Dec-19,0.0021,0.0021,0.0021,0.0021,3.69B,0.0117
20-Dec-19,0.0021,0.0022,0.0023,0.0020,3.51B,-0.0511
19-Dec-19,0.0022,0.0022,0.0023,0.0022,4.04B,-0.0180
18-Dec-19,0.0022,0.0022,0.0022,0.0021,4.85B,0.0178
17-Dec-19,0.0022,0.0022,0.0023,0.0022,4.66B,-0.0186
16-Dec-19,0.0022,0.0023,0.0023,0.0022,3.93B,-0.0115
15-Dec-19,0.0023,0.0023,0.0023,0.0022,3.83B,-0.0082
14-Dec-19,0.0023,0.0023,0.0023,0.0023,3.83B,-0.0033
13-Dec-19,0.0023,0.0023,0.0023,0.0023,3.81B,-0.0012
12-Dec-19,0.0023,0.0023,0.0023,0.0023,3.77B,0.0000
11-Dec-19,0.0023,0.0023,0.0023,0.0023,3.95B,-0.0008
10-Dec-19,0.0023,0.0023,0.0023,0.0023,3.99B,0.0110
9-Dec-19,0.0023,0.0023,0.0023,0.0023,3.74B,-0.0027
8-Dec-19,0.0023,0.0023,0.0027,0.0022,3.53B,-0.0004
